entity,url,accessible,content_valid,content_length,has_error_indicator,status_code,status_name,cloudflare_protected,error,redirect_url,column
CTED,https://www.un.org/sc/ctc/,True,True,100906.0,False,200.0,OK,False,,https://www.un.org/securitycouncil/ctc/,entity_link
DA,https://da.desa.un.org/,True,True,34932.0,False,200.0,OK,False,,,entity_link
DCO,https://un-dco.org/,True,True,12048.0,False,200.0,OK,False,,,entity_link
DESA,https://www.un.org/development/desa,True,True,121147.0,False,200.0,OK,False,,https://www.un.org/en/desa,entity_link
DGACM,https://www.un.org/dgacm/,True,True,70343.0,False,200.0,OK,False,,,entity_link
DGC,https://www.un.org/en/sections/departments/department-global-communications/,True,True,77406.0,False,200.0,OK,False,,https://www.un.org/en/department-global-communications,entity_link
DMSPC,https://www.un.org/management/,True,True,35648.0,False,200.0,OK,False,,,entity_link
DOS,https://operationalsupport.un.org/,True,True,91967.0,False,200.0,OK,False,,https://operationalsupport.un.org/en,entity_link
DPO,https://peacekeeping.un.org/en/department-of-peace-operations,True,True,61222.0,False,200.0,OK,False,,,entity_link
DPPA,https://dppa.un.org/,True,True,45315.0,False,200.0,OK,False,,https://dppa.un.org/en,entity_link
DSS,https://www.un.org/undss/,True,True,77087.0,False,200.0,OK,False,,https://www.un.org/safety-and-security/en,entity_link
ECA,https://www.uneca.org/,True,True,93000.0,False,200.0,OK,False,,,entity_link
ECE,https://unece.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
ECLAC,https://www.cepal.org/,True,True,166488.0,False,200.0,OK,False,,,entity_link
EOSG,https://www.un.org/sg,True,True,117809.0,False,200.0,OK,False,,https://www.un.org/sg/en,entity_link
ESCAP,https://www.unescap.org/,True,True,19098.0,False,200.0,OK,False,,,entity_link
ESCWA,https://www.unescwa.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
Ethics Office,https://www.un.org/en/ethics/,True,True,28789.0,False,200.0,OK,False,,,entity_link
FAO,https://www.fao.org/,True,False,1192396.0,True,200.0,OK,False,,https://www.fao.org/home/en/,entity_link
FP-Delisting,https://main.un.org/securitycouncil/en/sanctions/delisting,True,True,192585.0,False,200.0,OK,False,,,entity_link
Fifth Committee,https://www.un.org/en/ga/fifth/index.shtml,True,True,31644.0,False,200.0,OK,False,,,entity_link
First Committee,https://www.un.org/en/ga/first/index.shtml,True,True,31411.0,False,200.0,OK,False,,,entity_link
Fourth Committee,https://www.un.org/en/ga/fourth/index.shtml,True,True,26816.0,False,200.0,OK,False,,,entity_link
GoE-DRC,https://main.un.org/securitycouncil/en/sanctions/1533/work-and-mandate,True,True,191337.0,False,200.0,OK,False,,,entity_link
HLPF,https://hlpf.un.org/,True,True,110272.0,False,200.0,OK,False,,,entity_link
HRC,https://www.ohchr.org/en/hrbodies/hrc/home,False,False,0.0,,403.0,Forbidden,False,,,entity_link
IAEA,https://www.iaea.org/,True,True,14022.0,False,200.0,OK,False,,,entity_link
ICAO,https://www.icao.int/,True,True,12657.0,False,200.0,OK,False,,,entity_link
ICC,https://www.icc-cpi.int/,True,True,15750.0,False,200.0,OK,False,,,entity_link
ICJ,https://www.icj-cij.org/,True,True,2224.0,False,200.0,OK,False,,,entity_link
ICSC,https://icsc.un.org/,True,True,85750.0,False,200.0,OK,False,,,entity_link
IFAD,https://www.ifad.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
IIIM,https://iiim.un.org/,True,True,13062.0,False,200.0,OK,False,,,entity_link
IIMM,https://iimm.un.org/,True,True,26524.0,False,200.0,OK,False,,,entity_link
IIMP,https://iimp.un.org/,True,True,4983.0,False,200.0,OK,False,,,entity_link
ILC,https://legal.un.org/ilc/ilcintro.shtml,True,True,27973.0,False,200.0,OK,False,,,entity_link
ILO,https://www.ilo.org/,True,True,89305.0,False,200.0,OK,False,,,entity_link
IMF,https://www.imf.org/,False,False,,,,,False,"Connection error: HTTPSConnectionPool(host='www.imf.org', port=443): Max retries exceeded with url: / (Caused by ReadT",,entity_link
IMO,https://www.imo.org/,True,True,86539.0,False,200.0,OK,False,,,entity_link
IOM,https://www.iom.int/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
IRMCT,https://www.irmct.org/en,True,True,46273.0,False,200.0,OK,False,,,entity_link
ISA,https://www.isa.org.jm/,True,True,152042.0,False,200.0,OK,False,,https://isa.org.jm/,entity_link
ITC,https://intracen.org/,True,True,42752.0,False,200.0,OK,False,,https://www.intracen.org/,entity_link
ITLOS,https://www.itlos.org/,True,True,4330.0,False,200.0,OK,False,,https://www.itlos.org/en/,entity_link
ITU,https://www.itu.int/,True,False,99199.0,True,200.0,OK,False,,https://www.itu.int/en/Pages/default.aspx,entity_link
JIU,https://www.unjiu.org/,True,True,54049.0,False,200.0,OK,False,,,entity_link
KJSO,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
MINURSO,https://minurso.unmissions.org/,True,True,225410.0,False,200.0,OK,False,,,entity_link
MINUSCA,https://minusca.unmissions.org/,True,True,61246.0,False,200.0,OK,False,,,entity_link
MINUSMA,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
MONUSCO,https://monusco.unmissions.org/,True,True,284224.0,False,200.0,OK,False,,,entity_link
MSC,https://main.un.org/securitycouncil/en/subsidiary/msc,True,True,182587.0,False,200.0,OK,False,,,entity_link
NGO Committee,https://ecosoc.un.org/en/ngo/committee-on-ngos,True,True,65966.0,False,200.0,OK,False,,,entity_link
OAJ,https://www.un.org/en/internaljustice/oaj/,True,True,34683.0,False,200.0,OK,False,,,entity_link
OCHA,https://www.unocha.org/,True,True,273679.0,False,200.0,OK,False,,,entity_link
OCT,https://www.un.org/counterterrorism/,True,True,217351.0,False,200.0,OK,False,,https://www.un.org/counterterrorism/en,entity_link
ODA,https://www.un.org/disarmament/,True,True,184483.0,False,200.0,OK,False,,https://disarmament.unoda.org:443/en,entity_link
ODET,https://www.un.org/digital-emerging-technologies/,True,True,61885.0,False,200.0,OK,False,,,entity_link
ODPP,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
OHCHR,https://www.ohchr.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
OICT,https://unite.un.org/,True,True,65973.0,False,200.0,OK,False,,https://unite.un.org/en,entity_link
OIOS,https://oios.un.org/,True,True,50588.0,False,200.0,OK,False,,,entity_link
OLA,https://legal.un.org/ola/,True,True,62931.0,False,200.0,OK,False,,,entity_link
OMBUD-RES1904,https://www.un.org/securitycouncil/ombudsperson,True,True,187546.0,False,200.0,OK,False,,https://main.un.org/securitycouncil/en/ombudsperson,entity_link
OOSA,https://www.unoosa.org/,True,True,87842.0,False,200.0,OK,False,,,entity_link
OPCW,https://www.opcw.org/,True,True,83391.0,False,200.0,OK,False,,,entity_link
OSAA,https://www.un.org/osaa/,True,True,65604.0,False,200.0,OK,False,,,entity_link
OSACAJT,https://www.un.org/sg/en/global-leadership/entity/secretariat-and-regional-commissions/office-of-the-special-adviser-climate-action-and-just-transition,True,True,60610.0,False,200.0,OK,False,,,entity_link
OSASG-Cyprus,https://dppa.un.org/en/mission/special-adviser-cyprus,True,True,41791.0,False,200.0,OK,False,,,entity_link
OSASG-Genocide,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
OSC-SEA,https://www.un.org/preventing-sexual-exploitation-and-abuse/content/un-special-coordinator-0,True,True,51213.0,False,200.0,OK,False,,,entity_link
OSESG-SCRES1559,https://dppa.un.org/en/mission/special-envoy-implementation-of-security-council-resolution-1559-2004,True,True,40398.0,False,200.0,OK,False,,,entity_link
OSESG-SYRIA,https://specialenvoysyria.unmissions.org/,True,True,220012.0,False,200.0,OK,False,,,entity_link
OSESGY,https://osesgy.unmissions.org/,True,True,234199.0,False,200.0,OK,False,,,entity_link
OVRA,https://www.un.org/preventing-sexual-exploitation-and-abuse/content/victims-rights-advocate,True,True,57618.0,False,200.0,OK,False,,,entity_link
Other Committees,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
PBSO,https://www.un.org/peacebuilding/,True,True,71082.0,False,200.0,OK,False,,,entity_link
PESG-Sudan,https://dppa.un.org/en/mission/personal-envoy-sudan,True,True,39067.0,False,200.0,OK,False,,,entity_link
PESG-WS,https://dppa.un.org/en/mission/personal-envoy-western-sahara,True,True,40745.0,False,200.0,OK,False,,,entity_link
